Name,ID,Year,Yahoo Fantasy Points,IP,Hits,Strikeouts,Walks,Earned Runs,Wins,Losses,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Javier, Cristian",664299,2022,423.6,148.2,89,194,52,42,11,9,0.168,0.286,0.251,0.244,0.25,0.118,88.4,25.4,31.2,7.2,33.6,78.61921238,93.1834985,30.4,49.2
"Kaprielian, James",621076,2022,174,134,121,98,59,63,5,9,0.254,0.415,0.322,0.331,0.336,0.162,88.4,16.9,34.2,8,36.4,77.85101337,93.6185191,21.2,47.8
"Kaprielian, James",621076,2021,241.3,119.1,105,123,41,54,8,5,0.239,0.437,0.314,0.324,0.309,0.198,90.1,19,37.5,9.3,42.3,79.6980835,94.61620607,27.2,45.7
"Keller, Brad",641745,2022,111.6,139.2,153,102,57,79,6,14,0.256,0.405,0.337,0.323,0.327,0.149,89.3,6.7,28.7,6.6,41.4,78.15085467,94.3547437,21.5,48.8
"Keller, Brad",641745,2021,117.6,133.2,158,120,64,80,8,12,0.292,0.505,0.358,0.38,0.374,0.213,90,7.9,37,10.9,45,78.65370617,95.05037632,22.2,44.8
"Keller, Mitch",656605,2023,388.3,194.1,187,210,55,91,13,9,0.251,0.404,0.31,0.315,0.313,0.153,87.7,10.3,36.5,8.6,35.6,75.95374952,93.73517624,23.2,47.8
"Keller, Mitch",656605,2022,220,159,162,138,60,69,5,12,0.253,0.383,0.323,0.318,0.331,0.13,87.9,7.8,33.3,7.1,37.3,75.97761515,94.08524257,21.4,45.6
"Kelly, Merrill",518876,2023,397.6,177.2,143,187,68,65,12,8,0.244,0.389,0.294,0.313,0.32,0.145,89.6,11.8,35.1,7.8,41.8,78.63139686,94.55945668,27,49.1
"Kelly, Merrill",518876,2022,424.3,200.1,167,177,61,75,13,8,0.23,0.383,0.289,0.296,0.291,0.153,88.5,14,31.2,8.3,36.5,77.98340694,93.65341297,23.6,48.5
"Kelly, Merrill",518876,2021,224,158,163,130,41,78,7,11,0.271,0.432,0.319,0.324,0.319,0.161,89,12.9,33.1,6.3,39.6,78.35507626,94.14383223,20.3,49.2
"Kershaw, Clayton",477132,2023,358.6,131.2,100,137,40,36,13,5,0.232,0.393,0.28,0.3,0.295,0.161,89,11.8,34.7,9,39.1,77.97043795,94.20990047,28,49.6
"Keuchel, Dallas",572971,2021,143,162,189,95,59,95,9,9,0.302,0.493,0.356,0.372,0.366,0.191,88.3,5,34.4,9,39.8,76.12819018,94.34626939,21,44.2
"Kikuchi, Yusei",579328,2023,350.6,167.2,165,181,48,72,11,6,0.249,0.434,0.319,0.319,0.305,0.185,90.5,13.3,37.7,9,42.4,80.86269766,94.43232426,28,48.7
"Kikuchi, Yusei",579328,2021,263,157,145,163,62,77,7,9,0.261,0.463,0.325,0.347,0.336,0.202,91.9,7.9,37.4,11,47,81.84185302,95.50386774,27.7,48.5
"Kirby, George",669923,2023,417.6,190.2,179,172,19,71,13,10,0.262,0.425,0.284,0.305,0.286,0.163,89.2,12.4,32,7.5,40.9,78.35045527,94.24979479,22.9,54.5
"Kirby, George",669923,2022,283,130,135,133,22,49,8,5,0.233,0.379,0.302,0.284,0.271,0.146,89.3,11.3,31.4,8.9,38.7,78.65593819,94.14682811,21.2,52.6
"Kluber, Corey",446372,2022,274,164,178,139,21,79,10,10,0.261,0.416,0.316,0.31,0.293,0.155,87.1,18.5,35.8,6.9,34.7,75.47098145,93.38988869,23.9,51.2
"Kopech, Michael",656629,2023,124.3,129.1,115,134,91,78,5,12,0.24,0.454,0.363,0.363,0.371,0.214,90.3,17.8,31.6,12.7,42.4,79.99523364,94.72003952,26.9,42.1
"Kremer, Dean",665152,2023,329.6,172.2,171,157,55,79,13,5,0.27,0.457,0.317,0.339,0.329,0.188,89.7,12.7,36.9,8.9,40.3,79.05229775,94.3937839,24,47.7
"Kremer, Dean",665152,2022,220.3,125.1,123,87,34,45,8,7,0.265,0.423,0.312,0.327,0.321,0.158,88.4,14.7,36.6,7.3,39.2,76.97000358,94.02018524,22.2,50.7
"Kuhl, Chad",641771,2022,109,137,155,110,58,87,6,11,0.272,0.466,0.368,0.352,0.345,0.194,90.5,15.8,36,9.7,44.6,79.62490914,95.09870475,23.6,45.5
"Lauer, Eric",641778,2022,327.6,158.2,135,157,59,65,11,7,0.24,0.393,0.31,0.311,0.311,0.154,88.8,17.7,35.8,8,38,78.14281157,93.89419522,24.2,46.6
"Lester, Jon",452657,2021,157.3,141.1,159,91,55,74,7,6,0.274,0.453,0.352,0.343,0.342,0.179,88.3,10.4,33.5,7.7,37.2,76.81055068,93.9767996,20,46.4
"Lopez, Jorge",605347,2021,58.6,121.2,142,112,56,82,3,14,0.275,0.449,0.369,0.353,0.36,0.174,89.7,5.7,35,9.3,43.5,77.7780908,95.19076824,20.6,43.7
"Lopez, Pablo",641154,2023,449,194,176,234,48,79,11,8,0.217,0.34,0.294,0.269,0.272,0.124,87.1,12.6,32.4,6.3,34.8,75.93451778,93.23584819,30.3,51.7
"Lopez, Pablo",641154,2022,354,180,157,174,53,75,10,10,0.239,0.378,0.305,0.301,0.302,0.138,87.9,11,33.7,9,35.1,76.34179277,93.75402982,28.1,49.6
"Lorenzen, Michael",547179,2023,243,153,138,111,47,71,9,9,0.259,0.442,0.304,0.327,0.316,0.183,90,13.8,33.9,8,40.2,80.11625707,94.29566996,21.6,49.4
"Lugo, Seth",607625,2023,291.3,146.1,140,140,36,58,8,7,0.26,0.444,0.306,0.323,0.308,0.184,90.7,9.9,34.6,9.6,44.2,80.52290576,94.83782123,21.8,46.3
"Luzardo, Jesus",666200,2023,383.6,178.2,162,208,55,71,10,10,0.235,0.41,0.307,0.307,0.298,0.176,89.5,14.5,34.7,9.5,40,78.47433885,94.42147959,31.4,48.6
"Lyles, Jordan",543475,2023,127.6,177.2,176,120,45,124,6,17,0.265,0.481,0.34,0.34,0.314,0.216,89,19.8,34.6,9.9,35.5,78.64685804,93.74966533,20.1,48.1
"Lyles, Jordan",543475,2022,262,179,196,144,52,88,12,11,0.267,0.452,0.341,0.34,0.325,0.184,88.6,15.3,35.1,10.4,38.8,77.39818535,94.09386727,21.9,46.3
"Lyles, Jordan",543475,2021,215,180,194,146,56,103,10,13,0.275,0.482,0.354,0.351,0.334,0.207,89.9,15.3,35.5,9.1,41.6,79.61864405,94.39002909,23.5,48.2
"Lynch IV, Daniel",663738,2022,113.6,131.2,155,122,52,75,4,13,0.277,0.45,0.352,0.345,0.343,0.174,91.2,12.8,33.7,8.8,47.7,80.58425548,95.40019779,25.4,49.9
"Lynn, Lance",458681,2023,260.6,183.2,189,191,67,117,13,11,0.252,0.461,0.347,0.337,0.322,0.209,88.7,17,35.2,10.4,39.3,77.06547687,94.31393619,28.7,50.1
"Lynn, Lance",458681,2022,246.6,121.2,119,124,19,54,8,7,0.243,0.387,0.304,0.296,0.286,0.144,88.4,14.2,34.3,6.7,38.7,77.36672157,93.83356994,28.5,52.3
"Lynn, Lance",458681,2021,410,157,123,176,45,47,11,6,0.198,0.322,0.264,0.256,0.258,0.124,87.7,16,31.7,5.8,36,76.55306905,93.44617103,26.3,50.2
"Mahle, Tyler",641816,2022,211.6,120.2,104,126,43,59,6,8,0.214,0.358,0.303,0.291,0.288,0.144,88.7,17.9,31.9,7.5,38.3,78.29976164,93.70062371,26.8,45.3
"Mahle, Tyler",641816,2021,413,180,158,210,64,75,13,6,0.229,0.362,0.308,0.298,0.305,0.134,87.8,13.3,34.1,6.5,34.3,77.10702233,93.35744402,28.4,45.2
"Manaea, Sean",640455,2022,246,158,155,156,50,87,8,9,0.24,0.407,0.33,0.312,0.301,0.167,90.3,16.3,32.7,9.1,42.9,80.03148238,94.54285236,25.5,51.4
"Manaea, Sean",640455,2021,360.3,179.1,179,194,41,78,11,10,0.249,0.419,0.31,0.312,0.3,0.17,90.2,13.3,34.5,8,41.2,79.63434194,94.77189414,27.1,51.5
"Manoah, Alek",666201,2022,520.6,196.2,144,180,51,49,16,7,0.224,0.343,0.261,0.284,0.29,0.118,87.5,16.9,33,5.4,31.5,77.16247232,92.94156081,24.8,49.5
"Marquez, German",608566,2022,225.6,181.2,185,150,63,100,9,13,0.256,0.424,0.341,0.327,0.321,0.167,90.5,9.1,35.8,7.1,47.2,80.24238412,94.97497744,23,49.7
"Marquez, German",608566,2021,316,180,165,176,64,88,12,11,0.25,0.39,0.303,0.31,0.319,0.14,88.9,5.2,32.5,5.3,39.3,78.13127679,94.09814427,27,47.8
"Matz, Steven",571927,2021,300.6,150.2,158,144,43,64,14,7,0.253,0.396,0.315,0.31,0.309,0.143,87.8,9.6,32.2,7,37.9,76.96236168,93.44016486,22.3,46.9
"McClanahan, Shane",663556,2022,465.3,166.1,116,194,37,47,12,8,0.207,0.332,0.248,0.261,0.257,0.126,87.6,8.3,31.6,6.4,32.6,76.83828831,93.27040269,34.3,49.5
"McClanahan, Shane",663556,2021,279.3,123.1,120,141,37,47,10,6,0.263,0.436,0.304,0.328,0.319,0.173,91.7,8.5,36.8,10.7,45.7,80.85253521,95.6408387,32,50.2
"McCullers Jr., Lance",621121,2021,399.3,162.1,122,185,76,57,13,5,0.208,0.314,0.283,0.284,0.308,0.106,89.8,5.1,25.9,5.3,40.7,79.44787034,94.33949129,30.2,41.6
"McKenzie, Triston",663474,2022,455.3,191.1,138,190,44,63,11,11,0.222,0.397,0.268,0.293,0.274,0.175,90.2,19.7,37.3,9.8,40.6,80.39322633,94.25323992,26.7,52.7
"Means, John",607644,2021,288.6,146.2,125,134,26,59,6,9,0.242,0.441,0.294,0.309,0.281,0.199,87.9,20.3,37.1,10.1,37.8,76.21226081,93.84553761,25.3,50.5
"Megill, Tylor",656731,2023,157.3,126.1,141,105,58,66,9,8,0.283,0.479,0.35,0.365,0.364,0.196,89.8,11.7,37,9.1,42.6,78.86975655,94.66349975,23.3,44.9
"Mikolas, Miles",571945,2023,241.3,201.1,226,137,39,107,9,13,0.291,0.499,0.33,0.354,0.329,0.207,90.4,15,38.9,9.8,43,80.24284554,94.59317701,16.7,49.7
"Mikolas, Miles",571945,2022,397.3,202.1,170,153,39,74,12,13,0.252,0.4,0.279,0.306,0.294,0.148,87.8,11,35.1,6.9,36,76.74785674,93.48510674,18.5,48.9
"Miley, Wade",489119,2021,301,163,166,125,50,61,12,7,0.252,0.398,0.317,0.311,0.311,0.146,85.7,8,31.8,6.1,34.2,73.01265402,93.17340682,23.7,47.5
"Miller, Bobby",676272,2023,285.3,124.1,105,119,32,52,11,4,0.229,0.355,0.283,0.286,0.29,0.126,88.3,10.3,33.3,6,37.6,77.30412302,93.81218006,26.7,48.2
"Miller, Bryce",682243,2023,241.3,131.1,124,119,26,63,8,7,0.27,0.468,0.309,0.337,0.315,0.198,90.7,17.8,38.7,10.9,42.1,80.53381937,94.75094644,24.1,52.8
"Mills, Alec",621219,2021,134,119,137,87,34,67,6,7,0.28,0.429,0.343,0.334,0.337,0.149,88.3,7.8,33.2,4.9,39.3,77.08302052,93.92639877,18.3,46
"Minor, Mike",501985,2021,228.6,158.2,156,149,41,89,8,12,0.245,0.449,0.321,0.32,0.297,0.204,88.5,16.5,35,9.3,35.9,77.6665606,93.73122073,24.3,48.7
"Mize, Casey",663554,2021,263.3,150.1,130,118,41,62,7,9,0.254,0.462,0.308,0.338,0.319,0.208,89.1,9.3,33,10,40,77.92038218,94.37112089,22.6,45.8
"Montas, Frankie",593423,2022,229.3,144.1,137,142,43,65,5,12,0.242,0.396,0.309,0.31,0.305,0.155,87.6,11.2,31.8,8,34.2,76.30654853,93.49106514,27.6,51.3
"Montas, Frankie",593423,2021,427,187,164,207,57,70,13,9,0.237,0.404,0.29,0.307,0.3,0.167,89.3,11.6,34.4,8.7,42.3,77.99683542,94.57887986,29.6,50.5
"Montgomery, Jordan",656756,2023,366.6,188.2,177,166,48,67,10,11,0.253,0.408,0.298,0.308,0.303,0.155,88.3,12,36.3,7.5,37.9,77.15494714,93.9031783,25.9,47.6
"Montgomery, Jordan",656756,2022,374.3,178.1,159,158,36,69,9,6,0.258,0.4,0.291,0.31,0.303,0.143,88.5,9.8,34.1,7.1,37.5,77.80343638,93.69393645,27.4,50.6
"Montgomery, Jordan",656756,2021,293.3,157.1,150,162,51,67,6,7,0.248,0.404,0.299,0.31,0.307,0.156,87.9,12.1,35.4,7.4,36.5,76.20211733,93.84232457,29,50.4
"Morton, Charlie",450203,2023,317.3,163.1,150,183,83,66,14,12,0.248,0.399,0.318,0.33,0.348,0.151,88.9,9.9,36.8,7.8,39.1,77.30793493,94.40007395,32.2,42.9
"Morton, Charlie",450203,2022,358,172,149,205,63,83,9,6,0.228,0.389,0.32,0.314,0.314,0.161,89.3,13.6,38,9.5,42.1,78.11165722,94.4304903,29.2,45.6
"Morton, Charlie",450203,2021,479.6,185.2,136,216,58,69,14,6,0.217,0.332,0.264,0.282,0.295,0.115,88.1,7.7,29.9,4.9,32.5,77.62626009,93.3689704,28.9,46
"Musgrove, Joe",605397,2022,428,181,154,184,42,59,10,7,0.225,0.35,0.292,0.282,0.284,0.126,86.4,11.7,34.7,6,32.5,74.71748037,93.04808432,25.5,46.5
"Musgrove, Joe",605397,2021,432.3,181.1,142,203,54,64,11,9,0.236,0.387,0.284,0.304,0.309,0.151,87.8,11.6,33.8,7.2,38.5,76.74607365,93.54020873,29.3,46.9
"Nelson, Ryne",669194,2023,153,144,159,96,46,85,8,8,0.269,0.488,0.357,0.349,0.325,0.22,90.8,16.2,37.1,11.6,42.7,80.70390881,94.89792153,20.3,49.8
"Nola, Aaron",605400,2023,381.6,193.2,178,202,45,96,12,9,0.24,0.407,0.303,0.298,0.284,0.167,89.3,12.7,36.3,8.3,38.5,78.53543572,94.14339004,26,49.3
"Nola, Aaron",605400,2022,495,205,168,235,29,74,11,13,0.211,0.34,0.264,0.259,0.248,0.129,87.7,12.5,34.3,7.1,31.6,77.46537601,93.04416202,27.9,49.5
"Nola, Aaron",605400,2021,373.6,180.2,165,223,39,93,9,9,0.223,0.378,0.297,0.283,0.273,0.155,88.9,14.4,33.3,7.1,37.4,78.08015979,94.04703055,27.9,49.2
"Ober, Bailey",641927,2023,324.3,144.1,125,146,29,55,8,6,0.226,0.412,0.294,0.295,0.274,0.186,88.2,20,33.4,9.6,35.7,77.74015929,93.49078292,28.7,53.1
"Ohtani, Shohei",660271,2023,356,132,85,167,55,46,10,5,0.206,0.377,0.277,0.302,0.305,0.171,86.4,11.5,34,10.1,35,73.9743325,93.44273591,30.8,46.7
"Ohtani, Shohei",660271,2022,493,166,124,219,44,43,15,9,0.204,0.311,0.255,0.256,0.26,0.107,87.1,14.5,32,6.3,33.2,76.02869259,93.1792931,33,49
"Ohtani, Shohei",660271,2021,347.3,130.1,98,156,44,46,9,2,0.207,0.344,0.279,0.282,0.288,0.137,88.4,11.7,31.9,7.1,39.9,76.76176931,94.11386959,28.9,48
"Otto Jr., Glenn",657248,2022,176.6,135.2,119,107,62,70,7,10,0.247,0.424,0.325,0.343,0.345,0.177,89,13.2,34.2,8.9,38.1,78.07639538,94.1259466,23.1,45.2
"Oviedo, Johan",670912,2023,250.6,177.2,161,158,83,85,9,14,0.249,0.402,0.319,0.329,0.342,0.154,88.6,11.9,32.2,7.6,40.2,77.1847736,94.17368787,26,46.5
"Peralta, Freddy",642547,2023,388.6,165.2,131,210,54,71,12,10,0.214,0.361,0.291,0.284,0.284,0.146,87.6,14.6,32.3,8.6,37.7,75.95279552,93.70498193,33.6,47.8
"Peralta, Freddy",642547,2021,422.3,144.1,84,195,56,45,10,5,0.174,0.289,0.252,0.253,0.269,0.115,86.6,21.4,33.3,6,31.8,75.49127397,92.8484366,34.1,45.6
"Perez, Martin",527048,2023,207.6,141.2,150,93,49,70,10,4,0.272,0.447,0.335,0.338,0.334,0.175,89,10.9,33.1,7.6,37.2,78.33907544,93.95053239,17.2,45.3
"Perez, Martin",527048,2022,404.3,196.1,178,169,69,63,12,8,0.242,0.347,0.289,0.295,0.311,0.105,88.2,8.1,30.9,4.3,34.9,77.42293904,93.58127873,21,44.5
"Perez, Martin",527048,2021,142,114,136,97,36,60,7,8,0.28,0.47,0.358,0.356,0.345,0.19,88.6,10.2,40.3,9.3,42.2,77.07690702,94.2232368,19.3,46
"Pivetta, Nick",601713,2023,326.6,142.2,110,183,50,64,10,9,0.223,0.414,0.296,0.308,0.297,0.192,90.5,13.4,40.1,11.8,43.8,80.32762116,94.78097613,29.6,48.9
"Pivetta, Nick",601713,2022,272.6,179.2,175,175,73,91,10,12,0.248,0.433,0.33,0.332,0.324,0.185,90.7,15.2,36.3,9,45.6,80.45020734,94.88258417,23.5,47.6
"Pivetta, Nick",601713,2021,287,155,137,175,65,78,9,8,0.219,0.385,0.316,0.301,0.302,0.166,89.7,16.7,33.4,8.2,40.4,79.55017073,94.06924782,24.6,48.1
"Plesac, Zach",668676,2022,148.6,131.2,136,100,38,63,3,12,0.278,0.474,0.324,0.351,0.333,0.196,89.5,13,37.6,9.6,41.5,78.80996578,94.24041166,22,51.5
"Plesac, Zach",668676,2021,227.6,142.2,137,100,34,74,10,6,0.255,0.455,0.314,0.325,0.305,0.201,90.6,12.1,32.2,9.4,43.4,80.35574652,94.85029801,23.1,51
"Quantrill, Cal",615698,2022,371.3,186.1,178,128,47,70,15,5,0.258,0.417,0.305,0.321,0.313,0.159,87.6,13.8,33.3,7.5,35.7,76.14561017,93.60890725,18.5,48.7
"Quantrill, Cal",615698,2021,321.6,149.2,129,121,47,48,8,3,0.244,0.387,0.296,0.308,0.312,0.144,87.6,12.2,31.4,6.8,34.5,76.45877706,93.41210932,21.9,47
"Quintana, Jose",500779,2022,318.6,165.2,154,137,47,54,6,7,0.257,0.377,0.286,0.305,0.312,0.12,86.5,9.9,34.4,5.5,35.8,74.43882691,93.29990891,23.8,47.9
"Rasmussen, Drew",656876,2022,339,146,121,125,31,46,11,7,0.238,0.375,0.27,0.29,0.283,0.137,88.9,10.1,31.2,6.6,39.2,78.48358024,93.89397239,25.3,52.9
"Ray, Robbie",592662,2022,398,189,163,212,62,78,12,12,0.223,0.373,0.315,0.295,0.292,0.15,89.7,14.7,34,7.9,39.1,79.38448151,94.31291922,30,51.5
"Ray, Robbie",592662,2021,533.3,193.1,150,248,52,61,13,7,0.219,0.398,0.287,0.293,0.276,0.18,90.4,17.6,34.3,9.8,43.1,79.56792391,94.91851891,32.3,52
"Rea, Colin",607067,2023,208.6,124.2,110,110,38,63,6,6,0.253,0.432,0.313,0.323,0.314,0.179,90.4,13,34.5,7.7,43.3,79.91455422,94.82878625,24,47.9
"Richards, Garrett",572070,2021,152.6,136.2,158,115,60,74,7,8,0.285,0.465,0.356,0.357,0.359,0.18,91.1,10.6,34.6,8.5,47.8,80.14089972,95.49333002,22.4,48.9
"Rodon, Carlos",607074,2022,504,178,131,237,52,57,14,8,0.198,0.309,0.255,0.254,0.259,0.111,89,19.4,33.6,6.5,39.8,79.1310042,93.6987685,31.2,49.8
"Rodon, Carlos",607074,2021,424.6,132.2,91,185,36,35,13,5,0.189,0.314,0.247,0.254,0.256,0.126,89.2,18.7,29.9,6.6,36.2,78.53540127,94.0230923,33.2,50.5
"Rodriguez, Eduardo",593958,2023,331.6,152.2,128,143,48,56,13,9,0.247,0.397,0.284,0.31,0.311,0.15,88.6,13.8,31.4,7.5,38.5,76.99068462,94.24786955,23.8,47.8
"Rodriguez, Eduardo",593958,2021,296.6,157.2,172,185,47,83,13,8,0.233,0.366,0.33,0.288,0.289,0.133,86.5,12.3,37.4,6.8,33.6,74.68089854,93.1369414,26.3,48.7
"Rodriguez, Grayson",680570,2023,229,122,121,129,42,59,7,4,0.255,0.407,0.32,0.316,0.318,0.151,89.8,10.4,33.4,7.3,43.7,79.61343345,94.42256285,26.3,50.4
"Rogers, Trevor",669432,2021,320,133,107,157,46,39,7,8,0.223,0.343,0.27,0.284,0.296,0.12,87.7,12.5,34.9,5,36.7,75.95643856,93.76858356,30.7,49.4
"Ryan, Joe",657746,2023,334.6,161.2,155,197,34,81,11,10,0.224,0.403,0.316,0.291,0.271,0.179,90,20.4,34,8.7,41.6,79.79898749,94.41233744,26.8,55.1
"Ryan, Joe",657746,2022,339,147,115,151,47,58,13,8,0.215,0.373,0.294,0.294,0.289,0.158,88.2,24.2,36.1,8.6,35.4,77.49205072,93.60172415,25.6,51
"Ryu, Hyun Jin",547943,2021,299,169,170,143,37,82,14,10,0.265,0.44,0.313,0.322,0.306,0.175,89.6,9.8,33.7,8.5,41.6,78.8987518,94.36483723,22.6,47.5
"Sandoval, Patrick",663776,2023,179.6,144.2,145,128,74,66,7,13,0.261,0.403,0.318,0.333,0.351,0.142,87.6,9.4,38,7,35.1,76.33447694,93.45607915,27.7,46.6
"Sandoval, Patrick",663776,2022,285.6,148.2,139,151,60,48,6,9,0.245,0.359,0.294,0.307,0.323,0.114,87.3,11.4,31.6,5.7,34,76.41826296,93.07917573,29.5,48.2
"Scherzer, Max",453286,2023,366.6,152.2,126,174,45,64,13,6,0.207,0.375,0.298,0.281,0.269,0.168,88.5,20.2,32.2,8.5,36.9,77.75141687,93.79083365,28.6,51
"Scherzer, Max",453286,2022,432.3,145.1,108,173,24,37,11,5,0.202,0.339,0.254,0.265,0.253,0.137,87.8,21.3,32.2,8.4,33.9,76.73944477,93.46801894,30.6,52.2
"Scherzer, Max",453286,2021,575.3,179.1,119,236,36,49,15,4,0.196,0.353,0.248,0.263,0.249,0.157,87.9,19.3,33.6,8,34.3,76.6206964,93.69475598,34.1,50.6
"Schmidt, Clarke",657376,2023,247,159,169,149,46,82,9,9,0.256,0.418,0.334,0.32,0.316,0.162,89.2,13.8,31.1,7.6,41,77.79197595,94.39970499,22.6,47.1
"Sears, JP",676664,2023,240.3,172.1,165,161,53,87,5,14,0.245,0.448,0.335,0.33,0.316,0.203,88.6,22.6,32.7,11.1,38.4,77.25363428,94.08495204,24.7,51
"Senga, Kodai",673540,2023,412.3,166.1,126,202,77,55,12,7,0.225,0.365,0.282,0.304,0.316,0.14,89,12.8,31.5,6.8,40.6,77.90131103,94.28481415,29.7,45.2
"Senzatela, Antonio",622608,2021,179.6,156.2,178,105,32,77,4,10,0.273,0.414,0.323,0.319,0.317,0.141,90.4,8.1,30.7,5.9,42.7,79.74240012,94.8618677,19.5,48.1
"Singer, Brady",663903,2023,168.6,159.2,182,133,49,98,8,11,0.276,0.452,0.346,0.34,0.334,0.176,91,9,34.8,7.8,48.6,80.37926111,95.27544474,22.7,45.6
"Singer, Brady",663903,2022,349.3,153.1,140,150,35,55,10,5,0.247,0.397,0.3,0.309,0.304,0.15,89.3,8.6,33.2,8.2,40.9,78.53761702,94.1981568,22.9,44.3
"Singer, Brady",663903,2021,151.3,128.1,146,131,53,70,5,10,0.257,0.398,0.338,0.326,0.338,0.14,88.5,7,32.7,5.6,37.6,77.03614333,94.10183987,25.1,43.7
"Skubal, Tarik",669373,2021,259.3,149.1,141,164,47,72,8,12,0.267,0.508,0.332,0.357,0.327,0.241,90.5,14.1,35.3,13.9,45.1,78.79621285,95.45060283,26.7,48.9
"Smyly, Drew",592767,2023,206.3,142.1,147,141,56,79,11,11,0.241,0.401,0.348,0.313,0.315,0.16,87.6,19.2,35.9,7.3,33.6,76.25811928,93.49370858,27.1,46.6
"Smyly, Drew",592767,2021,230.6,126.2,133,117,41,63,11,4,0.267,0.471,0.342,0.342,0.327,0.203,88.8,14.9,36.1,10.1,39,77.57006845,94.2181538,24.9,49.9
"Snell, Blake",605483,2023,495,180,115,234,99,45,14,9,0.208,0.35,0.266,0.3,0.318,0.143,87.2,10.6,37,7.4,33.8,75.66726447,93.36491417,37.3,42.9
"Snell, Blake",605483,2022,295,128,103,171,51,48,8,10,0.207,0.337,0.282,0.279,0.286,0.13,90.1,17.1,39.2,7.4,39.5,80.4016029,94.17461149,32.8,47.9
"Snell, Blake",605483,2021,269.6,128.2,101,170,69,60,7,6,0.232,0.431,0.305,0.335,0.334,0.198,89.3,12.5,39.3,11,41.2,78.2789814,94.3982398,31.6,44.4
"Springs, Jeffrey",605488,2022,350.3,135.1,114,144,31,37,9,5,0.231,0.364,0.272,0.282,0.276,0.134,87.5,14.9,34,5.9,37.7,75.940205,93.58635698,29.5,50.3
"Steele, Justin",657006,2023,429.3,173.1,167,176,36,59,16,5,0.25,0.365,0.291,0.29,0.295,0.116,87.8,9.3,33.4,5.4,36.6,76.61452233,93.56474102,23.8,52.9
"Steele, Justin",657006,2022,223,119,111,126,50,42,4,7,0.237,0.336,0.296,0.295,0.316,0.099,87.1,7.5,31,3.9,33.7,76.15496945,93.10402358,24,47.3
"Strider, Spencer",675911,2023,550.6,186.2,146,281,58,80,20,5,0.205,0.345,0.279,0.273,0.275,0.14,88.5,17,40.2,8.2,36.1,77.7258957,93.78433377,38.6,53
"Strider, Spencer",675911,2022,416.6,131.2,86,202,45,39,11,5,0.179,0.279,0.235,0.242,0.254,0.1,88,14.1,32.7,6.1,36,77.31755863,93.43623007,34.9,50
"Stripling, Ross",548389,2022,316.3,134.1,117,111,20,45,10,4,0.251,0.395,0.268,0.293,0.281,0.144,88.9,12.2,34.7,9.2,37.2,78.1802297,93.89221469,23.5,51.5
"Stroman, Marcus",573186,2023,240.6,136.2,120,119,52,60,10,9,0.265,0.387,0.285,0.318,0.335,0.122,90.3,3,30.7,5,41.4,79.8502842,94.62567143,22.3,45.1
"Stroman, Marcus",573186,2022,261.6,138.2,123,119,36,54,6,7,0.254,0.389,0.291,0.308,0.306,0.136,89,7,32,6.6,40.7,77.84659276,94.27806424,22.4,45.9
"Stroman, Marcus",573186,2021,356,179,161,158,43,60,10,13,0.262,0.418,0.284,0.318,0.313,0.156,89.1,6.3,33.6,6.5,42,77.46844466,94.5965112,26.7,48.5
"Suarez, Ranger",624133,2023,191,125,129,119,48,58,4,6,0.262,0.403,0.325,0.321,0.33,0.141,87.8,8.1,35.3,7.5,36.1,76.42190169,93.62207436,23,45
"Suarez, Ranger",624133,2022,276.3,155.1,149,129,58,63,10,7,0.241,0.368,0.314,0.302,0.311,0.127,87.5,5.1,27.9,6.8,34.9,75.98613931,93.55424032,21.3,45.5
"Syndergaard, Noah",592789,2022,210.6,134.2,138,95,31,59,10,10,0.265,0.42,0.312,0.325,0.312,0.156,87.1,12.3,37.7,7.8,34,75.98866442,93.16336527,20.1,49.9
"Taillon, Jameson",592791,2023,229.3,154.1,156,140,41,83,8,10,0.259,0.462,0.322,0.332,0.311,0.203,88.3,16.7,36.2,10.7,38.4,76.8280185,94.06418605,22,49.1
"Taillon, Jameson",592791,2022,373.3,177.1,168,151,32,77,14,5,0.26,0.432,0.308,0.317,0.297,0.172,88.5,14.5,34.5,8.3,36.2,77.23819662,94.01026444,23,49.1
"Taillon, Jameson",592791,2021,270.3,144.1,130,140,44,69,8,6,0.23,0.401,0.309,0.304,0.295,0.171,88.9,20.9,33.9,8.2,40.4,78.10408356,94.06721274,26.4,50.8
"Thompson, Zach",605507,2022,94.6,121.2,138,90,46,70,3,10,0.281,0.442,0.346,0.346,0.346,0.161,88.3,11.3,34.2,6.4,39.6,76.8896006,93.9244305,24,47
"Urias, Julio",628711,2022,489,175,127,166,41,42,17,7,0.205,0.332,0.263,0.262,0.258,0.128,86.7,17.2,29.6,6.7,30.4,75.83897449,92.83156315,23.7,51.8
"Urias, Julio",628711,2021,524.6,185.2,151,195,38,61,20,3,0.219,0.36,0.266,0.273,0.266,0.141,86,15.5,31.7,5.3,30.3,74.37826752,92.76347754,24.1,51.3
