Name,ID,2022 Yahoo Fantasy Pts,2022 IP,2022 Hits,2022 Strikeouts,2022 Walks,2022 Earned Runs,2022 Wins,2022 Losses,2022 xba,2022 xslg,2022 woba,2022 xwoba,2022 xobp,2022 xiso,2022 exit_velocity_avg,2022 launch_angle_avg,2022 sweet_spot_percent,2022 barrel_batted_rate,2022 hard_hit_percent,2022 avg_best_speed,2022 avg_hyper_speed,2022 whiff_percent,2022 swing_percent,2023 Yahoo Fantasy Pts
"Alcantara, Sandy",645261,576.6,228.2,174,207,50,58,14,9,0.215,0.331,0.26,0.266,0.267,0.116,87.8,5.5,28.4,5.3,38.5,76.11,93.95,25.4,53.4,284.6
"Anderson, Tyler",542881,441.6,178.2,145,138,34,51,15,5,0.225,0.349,0.271,0.275,0.272,0.124,85,16.9,34.2,4.9,28.5,73.23,92.35,24.2,52.7,162
"Bassitt, Chris",605135,394.6,181.2,159,167,49,69,15,9,0.227,0.359,0.291,0.29,0.291,0.132,85.7,10.8,31.1,6.6,32.8,73.74,92.8,23.6,46.5,431
"Berrios, Jose",621244,246,172,199,149,45,100,12,7,0.275,0.466,0.35,0.346,0.329,0.191,90,13.9,36.3,9.5,43.8,79.06,94.76,21.2,48.6,367.6
"Bieber, Shane",669456,487,200,172,198,36,64,13,8,0.245,0.386,0.269,0.292,0.281,0.141,89.9,10,32.4,7.2,43.1,79.52,94.36,29.7,49.7,225
"Bradish, Kyle",680694,154.6,117.2,119,111,46,64,4,7,0.253,0.404,0.334,0.327,0.331,0.15,89.9,8.7,31.4,7.8,41,79.16,94.57,23.6,45.4,415.6
"Burnes, Corbin",669203,542,202,144,243,51,66,12,8,0.212,0.336,0.267,0.273,0.275,0.124,87.2,10,31.6,5.7,34.1,75.65,93.4,35.2,46.2,436.6
"Castillo, Luis",622491,364.3,150.1,118,167,45,50,8,6,0.223,0.344,0.273,0.284,0.291,0.12,89,10.4,33.8,6.9,37.6,78.44,94,27.8,49.4,473
"Cease, Dylan",656302,515,184,126,227,78,45,14,8,0.184,0.292,0.263,0.257,0.273,0.109,86.8,15,31.4,6.2,31.2,75.93,92.88,33.2,47.3,304
"Cobb, Alex",502171,274.6,149.2,152,151,43,62,7,8,0.235,0.329,0.296,0.277,0.291,0.094,89.2,1.8,26.3,3.7,41.1,78.45,94.15,24.8,45,254.3
"Cole, Gerrit",543037,522.6,200.2,154,257,50,78,13,8,0.214,0.383,0.283,0.284,0.266,0.169,89.4,12.6,32.5,9.5,40.2,78.81,94.23,33.9,48.2,577
"Corbin, Patrick",571578,46.6,152.2,210,128,49,107,6,19,0.304,0.52,0.383,0.381,0.359,0.216,90.8,11.5,40.1,11,45,80.23,95.07,20.7,47.4,164
"Darvish, Yu",506433,500.6,194.2,148,197,37,67,16,8,0.226,0.388,0.259,0.291,0.275,0.161,88.5,17,31.2,8.8,37.1,77.85,93.61,25.1,49.7,225.3
"Detmers, Reid",672282,250,129,110,122,46,54,7,6,0.243,0.388,0.3,0.312,0.318,0.144,89.3,16.7,39.9,8,38.6,79.43,93.83,25.3,48.3,233.6
"Dunning, Dane",641540,204.3,153.1,158,137,62,76,4,8,0.25,0.4,0.344,0.327,0.332,0.15,87.9,5.4,30,8.9,38,75.65,94.09,24.4,44.4,321.6
"Freeland, Kyle",607536,221.6,174.2,193,131,53,88,9,11,0.271,0.457,0.346,0.347,0.337,0.186,89.8,12.7,35.2,9.7,42.4,79.41,94.45,20.8,47.5,116.6
"Gallen, Zac",668678,512,184,121,192,47,52,12,4,0.213,0.34,0.25,0.278,0.279,0.127,87.8,10.8,33,7.8,36.1,76.87,93.45,23,47.4,493
"Gausman, Kevin",592332,391.6,174.2,188,205,28,65,12,10,0.242,0.38,0.304,0.285,0.272,0.138,89,12.2,38.1,8.1,38.5,78.2,94.02,29.4,55.9,459
"Gibson, Kyle",502043,243.6,167.2,176,144,48,94,10,8,0.262,0.421,0.331,0.326,0.32,0.159,88.6,10.6,34.8,7.5,37.5,77.44,93.99,25.1,48.5,308
"Gilbert, Logan",669302,413.6,185.2,170,174,49,66,13,6,0.253,0.408,0.299,0.314,0.308,0.154,91,14.6,37.6,7.1,45.6,80.92,95.05,24.2,50.3,426.6
"Giolito, Lucas",608337,262.6,161.2,171,177,61,88,11,9,0.249,0.397,0.344,0.318,0.319,0.149,88.8,12.6,37.9,7.5,39,77.64,94.19,28.5,47.4,279.3
"Gomber, Austin",596295,132.6,124.2,137,95,34,77,5,7,0.267,0.44,0.347,0.33,0.316,0.173,88.1,12.4,35.7,8.5,35.9,77.13,93.7,21.9,49,127
"Gray, Jon",592351,259.3,127.1,105,134,39,56,7,7,0.23,0.367,0.292,0.295,0.296,0.137,88,11.1,34.8,6.1,38,76.5,93.82,25.9,48.9,271.3
"Gray, Josiah",680686,215.6,148.2,136,154,66,83,7,10,0.219,0.419,0.35,0.319,0.308,0.2,87.4,19.7,33.6,10.7,36.9,75.6,93.72,26.9,44.8,225
"Greinke, Zack",425844,163,137,157,73,27,56,4,9,0.284,0.441,0.321,0.336,0.322,0.157,88.9,12.6,34.4,6.8,39.6,78.55,93.74,17.3,46.2,117.3
"Hill, Rich",448179,206.3,124.1,125,109,37,59,8,7,0.24,0.411,0.325,0.313,0.3,0.171,88.2,14.9,31.6,8.2,34,77.42,93.67,22,47.4,138.3
"Javier, Cristian",664299,423.6,148.2,89,194,52,42,11,9,0.168,0.286,0.251,0.244,0.25,0.118,88.4,25.4,31.2,7.2,33.6,78.62,93.18,30.4,49.2,301
"Keller, Mitch",656605,220,159,162,138,60,69,5,12,0.253,0.383,0.323,0.318,0.331,0.13,87.9,7.8,33.3,7.1,37.3,75.98,94.09,21.4,45.6,388.3
"Kelly, Merrill",518876,424.3,200.1,167,177,61,75,13,8,0.23,0.383,0.289,0.296,0.291,0.153,88.5,14,31.2,8.3,36.5,77.98,93.65,23.6,48.5,397.6
"Kirby, George",669923,283,130,135,133,22,49,8,5,0.233,0.379,0.302,0.284,0.271,0.146,89.3,11.3,31.4,8.9,38.7,78.66,94.15,21.2,52.6,417.6
"Kremer, Dean",665152,220.3,125.1,123,87,34,45,8,7,0.265,0.423,0.312,0.327,0.321,0.158,88.4,14.7,36.6,7.3,39.2,76.97,94.02,22.2,50.7,329.6
"Lopez, Pablo",641154,354,180,157,174,53,75,10,10,0.239,0.378,0.305,0.301,0.302,0.138,87.9,11,33.7,9,35.1,76.34,93.75,28.1,49.6,449
"Lyles, Jordan",543475,262,179,196,144,52,88,12,11,0.267,0.452,0.341,0.34,0.325,0.184,88.6,15.3,35.1,10.4,38.8,77.4,94.09,21.9,46.3,127.6
"Lynn, Lance",458681,246.6,121.2,119,124,19,54,8,7,0.243,0.387,0.304,0.296,0.286,0.144,88.4,14.2,34.3,6.7,38.7,77.37,93.83,28.5,52.3,260.6
"Mikolas, Miles",571945,397.3,202.1,170,153,39,74,12,13,0.252,0.4,0.279,0.306,0.294,0.148,87.8,11,35.1,6.9,36,76.75,93.49,18.5,48.9,241.3
