Name,ID,2022 Yahoo Fantasy Pts,2022 IP,2022 Hits,2022 Strikeouts,2022 Walks,2022 Earned Runs,2022 Wins,2022 Losses,2022 xba,2022 xslg,2022 woba,2022 xwoba,2022 xobp,2022 xiso,2022 exit_velocity_avg,2022 launch_angle_avg,2022 sweet_spot_percent,2022 barrel_batted_rate,2022 hard_hit_percent,2022 avg_best_speed,2022 avg_hyper_speed,2022 whiff_percent,2022 swing_percent,2023 Yahoo Fantasy Pts
"Montgomery, Jordan",656756,374.3,178.1,159,158,36,69,9,6,0.258,0.4,0.291,0.31,0.303,0.143,88.5,9.8,34.1,7.1,37.5,77.8,93.69,27.4,50.6,366.6
"Morton, Charlie",450203,358,172,149,205,63,83,9,6,0.228,0.389,0.32,0.314,0.314,0.161,89.3,13.6,38,9.5,42.1,78.11,94.43,29.2,45.6,317.3
"Nola, Aaron",605400,495,205,168,235,29,74,11,13,0.211,0.34,0.264,0.259,0.248,0.129,87.7,12.5,34.3,7.1,31.6,77.47,93.04,27.9,49.5,381.6
"Ohtani, Shohei",660271,493,166,124,219,44,43,15,9,0.204,0.311,0.255,0.256,0.26,0.107,87.1,14.5,32,6.3,33.2,76.03,93.18,33,49,356
"Perez, Martin",527048,404.3,196.1,178,169,69,63,12,8,0.242,0.347,0.289,0.295,0.311,0.105,88.2,8.1,30.9,4.3,34.9,77.42,93.58,21,44.5,207.6
"Pivetta, Nick",601713,272.6,179.2,175,175,73,91,10,12,0.248,0.433,0.33,0.332,0.324,0.185,90.7,15.2,36.3,9,45.6,80.45,94.88,23.5,47.6,326.6
"Ryan, Joe",657746,339,147,115,151,47,58,13,8,0.215,0.373,0.294,0.294,0.289,0.158,88.2,24.2,36.1,8.6,35.4,77.49,93.6,25.6,51,334.6
"Sandoval, Patrick",663776,285.6,148.2,139,151,60,48,6,9,0.245,0.359,0.294,0.307,0.323,0.114,87.3,11.4,31.6,5.7,34,76.42,93.08,29.5,48.2,179.6
"Scherzer, Max",453286,432.3,145.1,108,173,24,37,11,5,0.202,0.339,0.254,0.265,0.253,0.137,87.8,21.3,32.2,8.4,33.9,76.74,93.47,30.6,52.2,366.6
"Singer, Brady",663903,349.3,153.1,140,150,35,55,10,5,0.247,0.397,0.3,0.309,0.304,0.15,89.3,8.6,33.2,8.2,40.9,78.54,94.2,22.9,44.3,168.6
"Snell, Blake",605483,295,128,103,171,51,48,8,10,0.207,0.337,0.282,0.279,0.286,0.13,90.1,17.1,39.2,7.4,39.5,80.4,94.17,32.8,47.9,495
"Steele, Justin",657006,223,119,111,126,50,42,4,7,0.237,0.336,0.296,0.295,0.316,0.099,87.1,7.5,31,3.9,33.7,76.15,93.1,24,47.3,429.3
"Strider, Spencer",675911,416.6,131.2,86,202,45,39,11,5,0.179,0.279,0.235,0.242,0.254,0.1,88,14.1,32.7,6.1,36,77.32,93.44,34.9,50,550.6
"Stroman, Marcus",573186,261.6,138.2,123,119,36,54,6,7,0.254,0.389,0.291,0.308,0.306,0.136,89,7,32,6.6,40.7,77.85,94.28,22.4,45.9,240.6
"Suarez, Ranger",624133,276.3,155.1,149,129,58,63,10,7,0.241,0.368,0.314,0.302,0.311,0.127,87.5,5.1,27.9,6.8,34.9,75.99,93.55,21.3,45.5,191
"Taillon, Jameson",592791,373.3,177.1,168,151,32,77,14,5,0.26,0.432,0.308,0.317,0.297,0.172,88.5,14.5,34.5,8.3,36.2,77.24,94.01,23,49.1,229.3
"Valdez, Framber",664285,493.3,201.1,166,194,67,63,17,6,0.227,0.33,0.272,0.284,0.301,0.102,89.8,-3.6,24,5.8,41.6,78.82,94.71,25.6,47,424
"Verlander, Justin",434378,567,175,116,185,29,34,18,4,0.207,0.331,0.222,0.255,0.248,0.124,87.8,16.9,32.5,6.3,34.8,77.14,93.33,24.2,53.7,355.3
"Wacha, Michael",608379,294.3,127.1,111,104,31,47,11,2,0.254,0.446,0.301,0.329,0.306,0.192,88.2,12.8,35.4,9.6,35.4,76.73,93.93,20.7,50.5,324.3
"Walker, Taijuan",592836,328.3,157.1,143,132,45,61,12,5,0.245,0.395,0.293,0.308,0.305,0.15,89.3,11.3,33.7,7.3,40.6,78.84,94.01,23.6,47.3,305.6
"Webb, Logan",657277,422.3,192.1,174,163,49,62,15,9,0.247,0.364,0.283,0.295,0.301,0.116,88.9,3.1,29.3,5.5,39,78.05,94.04,24,47.3,444
"Wheeler, Zack",554430,392,153,125,163,34,48,12,7,0.226,0.343,0.275,0.275,0.278,0.117,85.9,11.4,34,7.7,34.5,73.07,93.39,25.1,50.5,462
