Name,ID,Year,2021 Yahoo Fantasy Pts,2021 IP,2021 Hits,2021 Strikeouts,2021 Walks,2021 Earned Runs,2021 Wins,2021 Losses,2021 xba,2021 xslg,2021 woba,2021 xwoba,2021 xobp,2021 xiso,2021 exit_velocity_avg,2021 launch_angle_avg,2021 sweet_spot_percent,2021 barrel_batted_rate,2021 hard_hit_percent,2021 avg_best_speed,2021 avg_hyper_speed,2021 whiff_percent,2021 swing_percent,2022 Yahoo Fantasy Pts,2022 IP,2022 Hits,2022 Strikeouts,2022 Walks,2022 Earned Runs,2022 Wins,2022 Losses,2022 xba,2022 xslg,2022 woba,2022 xwoba,2022 xobp,2022 xiso,2022 exit_velocity_avg,2022 launch_angle_avg,2022 sweet_spot_percent,2022 barrel_batted_rate,2022 hard_hit_percent,2022 avg_best_speed,2022 avg_hyper_speed,2022 whiff_percent,2022 swing_percent
"Alcantara, Sandy",645261,2021,419.6,205.2,171,201,50,73,9,15,0.232,0.369,0.279,0.288,0.287,0.136,87.6,4.5,29.9,6.1,39.4,75.37,93.98,27.3,53.3,576.6,228.2,174,207,50,58,14,9,0.215,0.331,0.26,0.266,0.267,0.116,87.8,5.5,28.4,5.3,38.5,76.11,93.95,25.4,53.4
"Anderson, Tyler",542881,2021,239,167,170,134,38,84,7,11,0.259,0.425,0.319,0.315,0.301,0.166,87,18.2,35.7,8.5,33,75.11,93.47,23.1,54.2,441.6,178.2,145,138,34,51,15,5,0.225,0.349,0.271,0.275,0.272,0.124,85,16.9,34.2,4.9,28.5,73.23,92.35,24.2,52.7
"Bassitt, Chris",605135,2021,394.3,157.1,127,159,39,55,12,4,0.227,0.362,0.274,0.286,0.288,0.135,87.6,12.5,32.9,6.5,33.2,76.72,93.23,23.8,47.7,394.6,181.2,159,167,49,69,15,9,0.227,0.359,0.291,0.29,0.291,0.132,85.7,10.8,31.1,6.6,32.8,73.74,92.80,23.6,46.5
"Berrios, Jose",621244,2021,441,192,159,204,45,75,12,9,0.242,0.407,0.286,0.311,0.301,0.166,88.4,12.4,36.6,9.1,38.3,76.73,94.15,23.7,47,246,172,199,149,45,100,12,7,0.275,0.466,0.35,0.346,0.329,0.191,90,13.9,36.3,9.5,43.8,79.06,94.76,21.2,48.6
"Brubaker, JT",664141,2021,153.3,124.1,123,129,37,74,5,13,0.252,0.44,0.34,0.329,0.318,0.188,88.9,12.6,33.4,8.8,38.7,77.57,94.27,27.3,47.5,173,144,157,147,54,75,3,12,0.257,0.413,0.339,0.329,0.33,0.157,89.6,10.8,36.2,7.6,41.3,78.59,94.55,27.3,46.4
"Bubic, Kris",663460,2021,191,130,121,114,59,64,6,7,0.255,0.456,0.337,0.349,0.344,0.2,88.8,9.1,34.8,9,39.6,77.28,94.23,23.4,44.8,68,129,156,110,63,80,3,13,0.286,0.455,0.371,0.362,0.367,0.169,90,10.7,41,7.8,44.9,78.95,94.90,21.3,47
"Bumgarner, Madison",518516,2021,222.3,146.1,134,124,39,76,7,10,0.245,0.432,0.315,0.319,0.307,0.187,88.8,18.5,38,7.5,38.5,78.47,93.80,21.5,49,146.6,158.2,179,112,49,86,7,15,0.276,0.488,0.357,0.358,0.337,0.211,90.3,16.8,37.7,9.8,43.2,79.79,94.76,18.1,48.4
"Burnes, Corbin",669203,2021,518,167,123,234,34,45,11,5,0.18,0.256,0.232,0.219,0.23,0.076,85.5,8.4,29.5,3.1,30.5,73.53,92.75,36.5,49.2,542,202,144,243,51,66,12,8,0.212,0.336,0.267,0.273,0.275,0.124,87.2,10,31.6,5.7,34.1,75.65,93.40,35.2,46.2
"Castillo, Luis",622491,2021,291.6,187.2,181,192,75,83,8,16,0.232,0.347,0.318,0.293,0.312,0.115,87.7,4.2,28.7,4.5,36.9,76.30,93.57,28.7,49.3,364.3,150.1,118,167,45,50,8,6,0.223,0.344,0.273,0.284,0.291,0.12,89,10.4,33.8,6.9,37.6,78.44,94.00,27.8,49.4
"Cease, Dylan",656302,2021,400.6,165.2,139,226,68,72,13,7,0.21,0.364,0.295,0.295,0.297,0.154,89.2,18.5,37,9.9,38.8,78.65,94.14,34.6,46.8,515,184,126,227,78,45,14,8,0.184,0.292,0.263,0.257,0.273,0.109,86.8,15,31.4,6.2,31.2,75.93,92.88,33.2,47.3
"Cole, Gerrit",543037,2021,504.3,181.1,151,243,41,65,16,8,0.209,0.369,0.276,0.274,0.257,0.16,88.7,12.5,33,9.8,38.6,77.57,94.11,31.9,48.9,522.6,200.2,154,257,50,78,13,8,0.214,0.383,0.283,0.284,0.266,0.169,89.4,12.6,32.5,9.5,40.2,78.81,94.23,33.9,48.2
"Corbin, Patrick",571578,2021,147.6,171.2,192,143,60,111,9,16,0.282,0.493,0.362,0.358,0.342,0.211,89.4,9,32.9,9.2,41.2,78.15,94.63,24.8,47.9,46.6,152.2,210,128,49,107,6,19,0.304,0.52,0.383,0.381,0.359,0.216,90.8,11.5,40.1,11,45,80.23,95.07,20.7,47.4
