Name,ID,Year,2021 Yahoo Fantasy Pts,2021 IP,2021 Hits,2021 Strikeouts,2021 Walks,2021 Earned Runs,2021 Wins,2021 Losses,2021 xba,2021 xslg,2021 woba,2021 xwoba,2021 xobp,2021 xiso,2021 exit_velocity_avg,2021 launch_angle_avg,2021 sweet_spot_percent,2021 barrel_batted_rate,2021 hard_hit_percent,2021 avg_best_speed,2021 avg_hyper_speed,2021 whiff_percent,2021 swing_percent,2022 Yahoo Fantasy Pts,2022 IP,2022 Hits,2022 Strikeouts,2022 Walks,2022 Earned Runs,2022 Wins,2022 Losses,2022 xba,2022 xslg,2022 woba,2022 xwoba,2022 xobp,2022 xiso,2022 exit_velocity_avg,2022 launch_angle_avg,2022 sweet_spot_percent,2022 barrel_batted_rate,2022 hard_hit_percent,2022 avg_best_speed,2022 avg_hyper_speed,2022 whiff_percent,2022 swing_percent
"Darvish, Yu",506433,2021,344.3,166.1,138,199,44,78,8,11,0.208,0.376,0.301,0.282,0.269,0.168,88.2,16.6,35.1,8.8,34.9,78.09,93.20,27.3,47.6,500.6,194.2,148,197,37,67,16,8,0.226,0.388,0.259,0.291,0.275,0.161,88.5,17,31.2,8.8,37.1,77.85,93.61,25.1,49.7
"Davies, Zach",605200,2021,101,148,162,114,75,95,6,12,0.293,0.487,0.366,0.375,0.379,0.193,89.8,11,36.2,9.1,43.3,78.66,94.68,22.3,43.2,193.3,134.1,122,102,52,61,2,5,0.25,0.43,0.315,0.329,0.321,0.18,87.4,13,31.6,8,34.5,75.69,93.60,21.4,42.2
"Dunning, Dane",641540,2021,153.6,117.2,126,114,43,59,5,10,0.265,0.419,0.336,0.333,0.338,0.154,89.2,6.7,31.4,8.1,43.5,77.89,94.65,23.2,46.3,204.3,153.1,158,137,62,76,4,8,0.25,0.4,0.344,0.327,0.332,0.15,87.9,5.4,30,8.9,38,75.65,94.09,24.4,44.4
"Fedde, Erick",607200,2021,163.3,133.1,144,128,48,81,7,9,0.263,0.456,0.34,0.337,0.328,0.193,89.8,7.3,31.1,9.3,40.6,78.49,94.76,21.9,44.9,69,127,149,94,58,82,6,13,0.283,0.451,0.362,0.356,0.356,0.167,89.5,13.4,34.9,8.1,43.5,78.24,94.65,18.3,43
"Flexen, Chris",623167,2021,333.6,179.2,185,125,40,72,14,6,0.261,0.427,0.311,0.317,0.305,0.166,89.5,11.5,33.9,6.3,38.1,79.44,94.03,19.2,49.8,204.6,137.2,132,95,51,57,8,9,0.256,0.43,0.315,0.331,0.324,0.174,89.1,18.4,35.7,9,40,78.18,94.17,21.7,48.8
"Freeland, Kyle",607536,2021,173.6,120.2,133,105,38,58,7,8,0.247,0.414,0.349,0.314,0.308,0.168,88.4,11.4,34.5,8.2,35.3,77.52,93.67,21.1,46.2,221.6,174.2,193,131,53,88,9,11,0.271,0.457,0.346,0.347,0.337,0.186,89.8,12.7,35.2,9.7,42.4,79.41,94.45,20.8,47.5
"Fried, Max",608331,2021,396.6,165.2,139,158,41,56,14,7,0.234,0.364,0.278,0.288,0.289,0.13,86.5,6.1,31.2,6.3,34.3,74.69,93.19,24.3,49,470.3,185.1,156,170,32,51,14,7,0.227,0.328,0.255,0.264,0.266,0.101,86.2,7.6,29.4,4,32.1,74.48,93.00,25.9,49.7
"Gallen, Zac",668678,2021,199.3,121.1,108,139,49,58,4,10,0.23,0.382,0.313,0.306,0.31,0.152,89.2,12.3,32.7,7.9,43,78.81,94.11,23.3,44.3,512,184,121,192,47,52,12,4,0.213,0.34,0.25,0.278,0.279,0.127,87.8,10.8,33,7.8,36.1,76.87,93.45,23,47.4
"Garcia, Luis",677651,2021,344.3,155.1,133,167,50,60,11,8,0.236,0.394,0.297,0.304,0.301,0.158,88.1,15.9,34.1,7.3,38.7,76.56,93.92,30.5,47.1,355.3,157.1,131,157,47,65,15,8,0.228,0.384,0.295,0.295,0.285,0.156,88.4,17.1,35.4,7.8,36.3,77.93,93.47,29.1,48.9
"Gausman, Kevin",592332,2021,523,192,150,227,50,60,14,6,0.231,0.381,0.265,0.29,0.284,0.151,89.1,12.1,30.6,7.1,40.9,77.91,94.45,31.3,52.4,391.6,174.2,188,205,28,65,12,10,0.242,0.38,0.304,0.285,0.272,0.138,89,12.2,38.1,8.1,38.5,78.20,94.02,29.4,55.9
"Gibson, Kyle",502043,2021,334,182,158,155,64,75,10,9,0.241,0.367,0.293,0.302,0.313,0.127,88.8,7.4,30.6,4.9,39.1,78.01,93.97,24.9,44.8,243.6,167.2,176,144,48,94,10,8,0.262,0.421,0.331,0.326,0.32,0.159,88.6,10.6,34.8,7.5,37.5,77.44,93.99,25.1,48.5
"Gilbert, Logan",669302,2021,226.3,119.1,112,128,28,62,6,5,0.242,0.428,0.305,0.311,0.294,0.185,90.1,19.2,36.4,8.8,44.6,79.71,94.68,27.1,50.9,413.6,185.2,170,174,49,66,13,6,0.253,0.408,0.299,0.314,0.308,0.154,91,14.6,37.6,7.1,45.6,80.92,95.05,24.2,50.3
"Giolito, Lucas",608337,2021,409.6,178.2,145,201,51,70,11,9,0.221,0.362,0.288,0.28,0.278,0.141,87.7,18.3,37.4,6.7,34.2,76.83,93.32,32.2,50.5,262.6,161.2,171,177,61,88,11,9,0.249,0.397,0.344,0.318,0.319,0.149,88.8,12.6,37.9,7.5,39,77.64,94.19,28.5,47.4
"Gonzales, Marco",594835,2021,264.3,143.1,125,108,42,63,10,6,0.257,0.483,0.321,0.341,0.317,0.226,88.1,20.6,37.4,11.4,37,76.74,93.85,20.4,48,215,183,194,103,50,84,10,15,0.266,0.435,0.337,0.33,0.32,0.169,86.7,14.5,32.3,7.2,35,74.97,93.27,18.3,51
"Gray, Jon",592351,2021,234,149,140,157,58,76,8,12,0.235,0.378,0.32,0.305,0.314,0.143,89,9.5,30.4,6.9,38.2,77.83,94.24,26.7,45.3,259.3,127.1,105,134,39,56,7,7,0.23,0.367,0.292,0.295,0.296,0.137,88,11.1,34.8,6.1,38,76.50,93.82,25.9,48.9
"Greinke, Zack",425844,2021,300,171,164,120,36,79,11,6,0.266,0.43,0.309,0.319,0.306,0.164,88.3,10.6,35.3,6.5,35.4,77.62,93.64,21.8,46,163,137,157,73,27,56,4,9,0.284,0.441,0.321,0.336,0.322,0.157,88.9,12.6,34.4,6.8,39.6,78.55,93.74,17.3,46.2
"Hill, Rich",448179,2021,291.6,158.2,137,150,55,68,7,8,0.24,0.414,0.313,0.323,0.323,0.174,88.3,18,37,8.9,34.8,77.37,93.72,23.1,46.1,206.3,124.1,125,109,37,59,8,7,0.24,0.411,0.325,0.313,0.3,0.171,88.2,14.9,31.6,8.2,34,77.42,93.67,22,47.4
"Irvin, Cole",608344,2021,229.3,178.1,195,125,42,84,10,15,0.281,0.445,0.323,0.338,0.331,0.164,89.3,16.2,35.9,7.3,39.3,78.89,94.05,19.2,52,281,181,174,128,36,80,9,13,0.258,0.451,0.306,0.324,0.301,0.192,89.4,15.5,36.1,9.6,39.5,79.40,93.91,20.5,52
"Kaprielian, James",621076,2021,241.3,119.1,105,123,41,54,8,5,0.239,0.437,0.314,0.324,0.309,0.198,90.1,19,37.5,9.3,42.3,79.70,94.62,27.2,45.7,174,134,121,98,59,63,5,9,0.254,0.415,0.322,0.331,0.336,0.162,88.4,16.9,34.2,8,36.4,77.85,93.62,21.2,47.8
"Keller, Brad",641745,2021,117.6,133.2,158,120,64,80,8,12,0.292,0.505,0.358,0.38,0.374,0.213,90,7.9,37,10.9,45,78.65,95.05,22.2,44.8,111.6,139.2,153,102,57,79,6,14,0.256,0.405,0.337,0.323,0.327,0.149,89.3,6.7,28.7,6.6,41.4,78.15,94.35,21.5,48.8
"Kelly, Merrill",518876,2021,224,158,163,130,41,78,7,11,0.271,0.432,0.319,0.324,0.319,0.161,89,12.9,33.1,6.3,39.6,78.36,94.14,20.3,49.2,424.3,200.1,167,177,61,75,13,8,0.23,0.383,0.289,0.296,0.291,0.153,88.5,14,31.2,8.3,36.5,77.98,93.65,23.6,48.5
"Lyles, Jordan",543475,2021,215,180,194,146,56,103,10,13,0.275,0.482,0.354,0.351,0.334,0.207,89.9,15.3,35.5,9.1,41.6,79.62,94.39,23.5,48.2,262,179,196,144,52,88,12,11,0.267,0.452,0.341,0.34,0.325,0.184,88.6,15.3,35.1,10.4,38.8,77.40,94.09,21.9,46.3
"Lynn, Lance",458681,2021,410,157,123,176,45,47,11,6,0.198,0.322,0.264,0.256,0.258,0.124,87.7,16,31.7,5.8,36,76.55,93.45,26.3,50.2,246.6,121.2,119,124,19,54,8,7,0.243,0.387,0.304,0.296,0.286,0.144,88.4,14.2,34.3,6.7,38.7,77.37,93.83,28.5,52.3
"Mahle, Tyler",641816,2021,413,180,158,210,64,75,13,6,0.229,0.362,0.308,0.298,0.305,0.134,87.8,13.3,34.1,6.5,34.3,77.11,93.36,28.4,45.2,211.6,120.2,104,126,43,59,6,8,0.214,0.358,0.303,0.291,0.288,0.144,88.7,17.9,31.9,7.5,38.3,78.30,93.70,26.8,45.3
"Manaea, Sean",640455,2021,360.3,179.1,179,194,41,78,11,10,0.249,0.419,0.31,0.312,0.3,0.17,90.2,13.3,34.5,8,41.2,79.63,94.77,27.1,51.5,246,158,155,156,50,87,8,9,0.24,0.407,0.33,0.312,0.301,0.167,90.3,16.3,32.7,9.1,42.9,80.03,94.54,25.5,51.4
"Marquez, German",608566,2021,316,180,165,176,64,88,12,11,0.25,0.39,0.303,0.31,0.319,0.14,88.9,5.2,32.5,5.3,39.3,78.13,94.10,27,47.8,225.6,181.2,185,150,63,100,9,13,0.256,0.424,0.341,0.327,0.321,0.167,90.5,9.1,35.8,7.1,47.2,80.24,94.97,23,49.7
"McClanahan, Shane",663556,2021,279.3,123.1,120,141,37,47,10,6,0.263,0.436,0.304,0.328,0.319,0.173,91.7,8.5,36.8,10.7,45.7,80.85,95.64,32,50.2,465.3,166.1,116,194,37,47,12,8,0.207,0.332,0.248,0.261,0.257,0.126,87.6,8.3,31.6,6.4,32.6,76.84,93.27,34.3,49.5
"Montas, Frankie",593423,2021,427,187,164,207,57,70,13,9,0.237,0.404,0.29,0.307,0.3,0.167,89.3,11.6,34.4,8.7,42.3,78.00,94.58,29.6,50.5,229.3,144.1,137,142,43,65,5,12,0.242,0.396,0.309,0.31,0.305,0.155,87.6,11.2,31.8,8,34.2,76.31,93.49,27.6,51.3
"Montgomery, Jordan",656756,2021,293.3,157.1,150,162,51,67,6,7,0.248,0.404,0.299,0.31,0.307,0.156,87.9,12.1,35.4,7.4,36.5,76.20,93.84,29,50.4,374.3,178.1,159,158,36,69,9,6,0.258,0.4,0.291,0.31,0.303,0.143,88.5,9.8,34.1,7.1,37.5,77.80,93.69,27.4,50.6
"Morton, Charlie",450203,2021,479.6,185.2,136,216,58,69,14,6,0.217,0.332,0.264,0.282,0.295,0.115,88.1,7.7,29.9,4.9,32.5,77.63,93.37,28.9,46,358,172,149,205,63,83,9,6,0.228,0.389,0.32,0.314,0.314,0.161,89.3,13.6,38,9.5,42.1,78.11,94.43,29.2,45.6
"Musgrove, Joe",605397,2021,432.3,181.1,142,203,54,64,11,9,0.236,0.387,0.284,0.304,0.309,0.151,87.8,11.6,33.8,7.2,38.5,76.75,93.54,29.3,46.9,428,181,154,184,42,59,10,7,0.225,0.35,0.292,0.282,0.284,0.126,86.4,11.7,34.7,6,32.5,74.72,93.05,25.5,46.5
"Nola, Aaron",605400,2021,373.6,180.2,165,223,39,93,9,9,0.223,0.378,0.297,0.283,0.273,0.155,88.9,14.4,33.3,7.1,37.4,78.08,94.05,27.9,49.2,495,205,168,235,29,74,11,13,0.211,0.34,0.264,0.259,0.248,0.129,87.7,12.5,34.3,7.1,31.6,77.47,93.04,27.9,49.5
"Ohtani, Shohei",660271,2021,347.3,130.1,98,156,44,46,9,2,0.207,0.344,0.279,0.282,0.288,0.137,88.4,11.7,31.9,7.1,39.9,76.76,94.11,28.9,48,493,166,124,219,44,43,15,9,0.204,0.311,0.255,0.256,0.26,0.107,87.1,14.5,32,6.3,33.2,76.03,93.18,33,49
"Perez, Martin",527048,2021,142,114,136,97,36,60,7,8,0.28,0.47,0.358,0.356,0.345,0.19,88.6,10.2,40.3,9.3,42.2,77.08,94.22,19.3,46,404.3,196.1,178,169,69,63,12,8,0.242,0.347,0.289,0.295,0.311,0.105,88.2,8.1,30.9,4.3,34.9,77.42,93.58,21,44.5
"Pivetta, Nick",601713,2021,287,155,137,175,65,78,9,8,0.219,0.385,0.316,0.301,0.302,0.166,89.7,16.7,33.4,8.2,40.4,79.55,94.07,24.6,48.1,272.6,179.2,175,175,73,91,10,12,0.248,0.433,0.33,0.332,0.324,0.185,90.7,15.2,36.3,9,45.6,80.45,94.88,23.5,47.6
"Plesac, Zach",668676,2021,227.6,142.2,137,100,34,74,10,6,0.255,0.455,0.314,0.325,0.305,0.201,90.6,12.1,32.2,9.4,43.4,80.36,94.85,23.1,51,148.6,131.2,136,100,38,63,3,12,0.278,0.474,0.324,0.351,0.333,0.196,89.5,13,37.6,9.6,41.5,78.81,94.24,22,51.5
"Quantrill, Cal",615698,2021,321.6,149.2,129,121,47,48,8,3,0.244,0.387,0.296,0.308,0.312,0.144,87.6,12.2,31.4,6.8,34.5,76.46,93.41,21.9,47,371.3,186.1,178,128,47,70,15,5,0.258,0.417,0.305,0.321,0.313,0.159,87.6,13.8,33.3,7.5,35.7,76.15,93.61,18.5,48.7
"Ray, Robbie",592662,2021,533.3,193.1,150,248,52,61,13,7,0.219,0.398,0.287,0.293,0.276,0.18,90.4,17.6,34.3,9.8,43.1,79.57,94.92,32.3,52,398,189,163,212,62,78,12,12,0.223,0.373,0.315,0.295,0.292,0.15,89.7,14.7,34,7.9,39.1,79.38,94.31,30,51.5
"Rodon, Carlos",607074,2021,424.6,132.2,91,185,36,35,13,5,0.189,0.314,0.247,0.254,0.256,0.126,89.2,18.7,29.9,6.6,36.2,78.54,94.02,33.2,50.5,504,178,131,237,52,57,14,8,0.198,0.309,0.255,0.254,0.259,0.111,89,19.4,33.6,6.5,39.8,79.13,93.70,31.2,49.8
"Scherzer, Max",453286,2021,575.3,179.1,119,236,36,49,15,4,0.196,0.353,0.248,0.263,0.249,0.157,87.9,19.3,33.6,8,34.3,76.62,93.69,34.1,50.6,432.3,145.1,108,173,24,37,11,5,0.202,0.339,0.254,0.265,0.253,0.137,87.8,21.3,32.2,8.4,33.9,76.74,93.47,30.6,52.2
"Singer, Brady",663903,2021,151.3,128.1,146,131,53,70,5,10,0.257,0.398,0.338,0.326,0.338,0.14,88.5,7,32.7,5.6,37.6,77.04,94.10,25.1,43.7,349.3,153.1,140,150,35,55,10,5,0.247,0.397,0.3,0.309,0.304,0.15,89.3,8.6,33.2,8.2,40.9,78.54,94.20,22.9,44.3
"Snell, Blake",605483,2021,269.6,128.2,101,170,69,60,7,6,0.232,0.431,0.305,0.335,0.334,0.198,89.3,12.5,39.3,11,41.2,78.28,94.40,31.6,44.4,295,128,103,171,51,48,8,10,0.207,0.337,0.282,0.279,0.286,0.13,90.1,17.1,39.2,7.4,39.5,80.40,94.17,32.8,47.9
"Stroman, Marcus",573186,2021,356,179,161,158,43,60,10,13,0.262,0.418,0.284,0.318,0.313,0.156,89.1,6.3,33.6,6.5,42,77.47,94.60,26.7,48.5,261.6,138.2,123,119,36,54,6,7,0.254,0.389,0.291,0.308,0.306,0.136,89,7,32,6.6,40.7,77.85,94.28,22.4,45.9
"Taillon, Jameson",592791,2021,270.3,144.1,130,140,44,69,8,6,0.23,0.401,0.309,0.304,0.295,0.171,88.9,20.9,33.9,8.2,40.4,78.10,94.07,26.4,50.8,373.3,177.1,168,151,32,77,14,5,0.26,0.432,0.308,0.317,0.297,0.172,88.5,14.5,34.5,8.3,36.2,77.24,94.01,23,49.1
"Urias, Julio",628711,2021,524.6,185.2,151,195,38,61,20,3,0.219,0.36,0.266,0.273,0.266,0.141,86,15.5,31.7,5.3,30.3,74.38,92.76,24.1,51.3,489,175,127,166,41,42,17,7,0.205,0.332,0.263,0.262,0.258,0.128,86.7,17.2,29.6,6.7,30.4,75.84,92.83,23.7,51.8
"Valdez, Framber",664285,2021,290.6,134.2,110,125,58,47,11,6,0.231,0.343,0.288,0.301,0.324,0.112,90.8,-5.5,21.4,5.8,44.4,80.44,94.91,26,42.4,493.3,201.1,166,194,67,63,17,6,0.227,0.33,0.272,0.284,0.301,0.102,89.8,-3.6,24,5.8,41.6,78.82,94.71,25.6,47
"Wacha, Michael",608379,2021,180.6,124.2,132,121,31,70,3,5,0.283,0.499,0.334,0.355,0.33,0.216,89.9,13.3,39.8,10.5,43,78.63,94.87,23,53.6,294.3,127.1,111,104,31,47,11,2,0.254,0.446,0.301,0.329,0.306,0.192,88.2,12.8,35.4,9.6,35.4,76.73,93.93,20.7,50.5
"Wainwright, Adam",425794,2021,484.3,206.1,168,174,50,70,17,7,0.251,0.388,0.273,0.302,0.304,0.137,88.2,10,34.3,6.2,35.6,77.66,93.43,19.7,43.8,307.6,191.2,192,143,54,79,11,12,0.27,0.419,0.306,0.328,0.326,0.148,87.8,11,37.4,6.5,36.6,76.64,93.59,16.9,43.5
"Walker, Taijuan",592836,2021,257,159,133,146,55,79,7,11,0.246,0.442,0.301,0.328,0.314,0.197,89.1,12.4,30.5,10,39.4,78.13,94.20,23.4,46.2,328.3,157.1,143,132,45,61,12,5,0.245,0.395,0.293,0.308,0.305,0.15,89.3,11.3,33.7,7.3,40.6,78.84,94.01,23.6,47.3
"Webb, Logan",657277,2021,378.3,148.1,128,158,36,50,11,3,0.23,0.329,0.274,0.276,0.288,0.099,88.1,-0.5,28.2,5.6,38.8,76.49,94.01,28.7,46.6,422.3,192.1,174,163,49,62,15,9,0.247,0.364,0.283,0.295,0.301,0.116,88.9,3.1,29.3,5.5,39,78.05,94.04,24,47.3
"Wheeler, Zack",554430,2021,559.3,213.1,169,247,46,66,14,10,0.215,0.318,0.257,0.258,0.265,0.103,84.6,8.4,31.2,4.6,28.5,71.90,92.69,26.5,51.9,392,153,125,163,34,48,12,7,0.226,0.343,0.275,0.275,0.278,0.117,85.9,11.4,34,7.7,34.5,73.07,93.39,25.1,50.5
"Wood, Alex",622072,2021,314.6,138.2,125,152,39,59,10,4,0.239,0.377,0.298,0.304,0.311,0.137,89.7,7.1,33.1,5.3,40.5,79.44,94.22,27.3,47.5,191.6,130.2,132,131,30,74,8,12,0.248,0.397,0.315,0.31,0.305,0.15,88.6,8.5,33.8,7.1,39.8,77.69,93.93,25,48.1
"Woodruff, Brandon",605540,2021,468.3,179.1,130,211,43,51,9,10,0.226,0.353,0.252,0.279,0.281,0.127,86.2,10.6,36,5.8,32.7,73.41,93.49,28.2,51.1,426.3,153.1,122,190,42,52,13,4,0.212,0.349,0.282,0.277,0.273,0.137,88.8,16.8,34.1,7.1,37.5,77.95,93.98,31.1,49.4
