player_id,year,player_age,yahoo,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,babip,b_rbi,b_total_bases,r_total_caught_stealing,r_total_stolen_base,b_swinging_strike,r_run,xba,xslg,woba,xwoba,xobp,xiso,xbadiff,xslgdiff,wobadiff,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,poorlyunder_percent,poorlytopped_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,iz_contact_percent,whiff_percent,swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,new_yahoo,new_run,new_rbi,new_sb,new_walk,new_k,new_tb
595777,2022,29,340,575,658,140,87,36,2,15,103,73,15.7,11.1,0.243,0.391,0.331,0.722,0.148,0.272,58,225,1,5,195,82,0.251,0.359,0.32,0.315,0.34,0.108,-0.008,0.032,0.005,87.5,12.9,34.7,4,27.8,29.5,34.3,64.2,13.9,23.7,31.5,68,85.5,18.7,43.6,44.8,22.8,25.7,231,55,46,1,50,90,169
608070,2022,29,532,601,685,168,90,44,5,29,82,69,12,10.1,0.28,0.514,0.355,0.869,0.234,0.279,126,309,7,20,159,90,0.255,0.408,0.363,0.32,0.337,0.153,0.025,0.106,0.043,87.7,20.7,33.7,6.6,37.3,21.8,36.9,66.4,9.5,28.7,26.4,73.1,90.1,15.1,46.3,32.6,28.6,24.6,485,87,80,28,73,73,290
592663,2022,31,343,504,562,139,86,26,5,22,119,41,21.2,7.3,0.276,0.478,0.342,0.82,0.202,0.318,84,241,1,21,245,75,0.275,0.463,0.354,0.351,0.342,0.188,0.001,0.015,0.003,90.3,13.1,35.6,11.3,22.1,30.5,47.2,67.7,19.6,31,38.4,61.6,80.4,25.7,49,44.6,25.6,24.1,267,70,63,16,35,138,221
592669,2022,30,286,474,522,121,68,23,1,29,121,39,23.2,7.5,0.255,0.492,0.315,0.807,0.237,0.281,72,233,1,1,221,62,0.24,0.438,0.347,0.323,0.303,0.199,0.015,0.054,0.024,90.5,17.7,32.7,10.9,30.4,27.1,43.6,66.2,18.8,31.8,41.7,58.3,81.2,27,47.8,37.4,30.2,21.5,246,60,60,0,44,125,207
668804,2022,27,308,542,614,142,92,19,4,27,141,56,23,9.1,0.262,0.461,0.345,0.806,0.199,0.306,62,250,3,7,287,74,0.249,0.416,0.349,0.329,0.334,0.167,0.013,0.045,0.02,90.2,12,35.5,7.9,25.8,31.5,42.9,73,15.8,31.5,51,49,84.1,27.7,50.4,43.7,27.8,24.6,360,85,84,12,53,138,264
663586,2022,25,399,615,693,168,89,39,2,38,168,57,24.2,8.2,0.273,0.528,0.349,0.877,0.255,0.315,93,325,0,2,332,90,0.271,0.531,0.377,0.378,0.348,0.26,0.002,-0.003,-0.001,92.5,12.9,37.7,15.7,22.8,29.7,50.8,75.3,18.7,30.1,47.7,52.3,81.3,27.6,51.5,39,28.8,26.2,432,117,97,3,59,172,328
677594,2022,21,339,511,560,145,89,25,3,28,145,40,25.9,7.1,0.284,0.509,0.345,0.854,0.225,0.345,75,260,7,25,289,84,0.254,0.46,0.366,0.337,0.319,0.206,0.03,0.049,0.029,92,10.1,32.7,13.1,19.1,36.5,50.7,70.5,19.9,33.5,48.6,51.4,80.1,30.4,50.2,46.3,24,22.3,431,102,103,37,47,175,317
642708,2022,26,346,637,670,180,134,26,9,11,111,25,16.6,3.7,0.283,0.403,0.312,0.715,0.12,0.326,71,257,4,18,228,86,0.276,0.396,0.311,0.31,0.308,0.12,0.007,0.007,0.001,88.4,5,31.1,4.5,18.1,42.6,38.3,66.9,15.4,40,29.8,70.2,84.6,21,53.1,52.5,16.8,25.7,266,70,58,15,29,99,193
467793,2022,36,257,431,506,87,50,18,0,19,88,71,17.4,14,0.202,0.376,0.316,0.692,0.174,0.209,60,162,0,0,168,52,0.253,0.438,0.308,0.352,0.361,0.185,-0.051,-0.062,-0.044,90.7,15.4,31.6,9.3,28.7,28.7,44.9,63.9,16.9,21.7,34.1,65.9,82.9,21.3,42.6,39.1,28.4,22.6,367,78,86,6,65,104,236
623993,2022,27,361,574,647,138,81,24,0,33,122,55,18.9,8.5,0.24,0.455,0.318,0.773,0.215,0.248,89,261,2,0,228,78,0.257,0.471,0.336,0.352,0.335,0.214,-0.017,-0.016,-0.016,90.1,21.4,33.5,11.6,31.9,23,43.3,65.5,14,32.5,34.4,65.6,86,21.5,47.7,32.2,28.7,23.4,363,81,95,5,55,152,279
656941,2022,29,381,577,669,126,56,21,3,46,200,86,29.9,12.9,0.218,0.504,0.323,0.827,0.286,0.24,94,291,1,10,300,100,0.237,0.535,0.355,0.375,0.341,0.298,-0.019,-0.031,-0.02,93.3,19.2,35.4,20.1,27.7,21.4,54.4,60.6,22.3,21.7,46.7,52.3,77.1,29,40.6,34.3,33.8,20.6,400,108,104,0,126,215,277
608369,2022,28,402,593,663,145,87,24,1,33,103,58,15.5,8.7,0.245,0.455,0.317,0.772,0.21,0.242,83,270,0,3,296,91,0.283,0.51,0.331,0.372,0.354,0.226,-0.038,-0.055,-0.041,91.1,13.6,38.4,10.5,25.1,28.1,45.5,80.7,14.9,30.5,54.8,45.2,85.1,26.5,54.5,40.2,30.3,25.9,444,88,96,2,49,88,297
543760,2022,31,424,657,724,163,101,31,5,26,120,53,16.6,7.3,0.248,0.429,0.304,0.733,0.181,0.263,83,282,8,25,242,101,0.243,0.394,0.317,0.306,0.301,0.151,0.005,0.035,0.011,87.3,19.9,32.4,6.8,35.3,24.1,34.9,71.1,12.4,24.8,42.8,57.2,87.6,20.6,47.2,33.6,34,21.8,518,122,100,14,72,110,320
669257,2022,27,352,508,578,132,79,26,3,24,96,56,16.6,9.7,0.26,0.465,0.343,0.808,0.205,0.276,87,236,0,1,163,68,0.257,0.473,0.349,0.352,0.341,0.216,0.003,-0.008,-0.003,89.9,18.4,36.8,10.3,33.4,22.6,43,63.7,16.1,21.3,29.1,70.9,83.9,19.3,42.6,31.5,37.3,25.5,336,80,76,3,63,89,203
665742,2022,23,437,524,664,127,73,25,2,27,96,135,14.5,20.3,0.242,0.452,0.401,0.853,0.21,0.249,62,237,2,6,164,93,0.266,0.501,0.376,0.401,0.42,0.235,-0.024,-0.049,-0.025,91,9.1,28.5,12.4,22.2,36,47.4,56.3,13.6,17.2,35,64.2,86,19.2,35.5,47.4,27.1,19.2,516,97,109,12,132,129,295
543807,2022,32,375,513,583,137,86,22,4,25,100,54,17.2,9.3,0.267,0.472,0.342,0.814,0.205,0.285,76,242,2,14,282,89,0.265,0.437,0.352,0.342,0.342,0.172,0.002,0.035,0.01,88.7,13.9,31.8,8.4,25.8,31.8,42.3,77.4,21,25.6,49.1,50.9,79,28.2,50.9,44.3,24.4,21.8,362,87,72,20,60,125,248
664702,2022,27,238,535,596,118,93,22,3,0,87,54,14.6,9.1,0.221,0.273,0.291,0.564,0.052,0.261,32,146,1,21,94,72,0.236,0.301,0.257,0.275,0.306,0.065,-0.015,-0.028,-0.018,87,9.8,34.1,0.7,28.6,35.9,26.5,57.9,8.1,19.6,28.4,71.6,91.7,12.6,40.5,47.6,22.5,26.2,183,52,29,20,42,97,137
553993,2022,30,289,543,629,128,71,24,2,31,196,73,31.2,11.6,0.236,0.459,0.332,0.791,0.223,0.302,87,249,0,0,317,76,0.22,0.454,0.344,0.339,0.321,0.234,0.016,0.005,0.005,89.8,19.9,36.4,14.8,29,24.4,43.5,63.6,24,21.5,58.1,41.9,76,33.1,41.8,34.1,39.2,20.7,256,68,96,2,70,214,234
621020,2022,28,366,640,696,177,119,32,1,25,182,49,26.1,7,0.277,0.447,0.329,0.776,0.17,0.348,96,286,7,18,376,99,0.257,0.461,0.337,0.337,0.314,0.204,0.02,-0.014,0,90.2,15.7,37,10.8,25.3,26.4,46.3,72.4,23.8,26.4,49.7,50.3,76.2,30.7,49.4,38.3,29.4,26.8,317,81,80,9,66,154,235
657041,2022,26,232,498,548,120,75,26,2,17,132,41,24.1,7.5,0.241,0.404,0.301,0.705,0.163,0.291,52,201,4,8,173,62,0.222,0.357,0.308,0.286,0.286,0.135,0.019,0.047,0.022,86.4,12.5,32.6,6.5,26.4,33.2,34.5,61.4,14.6,26.1,37,63,85.4,21.1,44.1,45.3,21.3,21,361,101,86,20,36,176,294
650402,2022,25,306,526,572,135,82,28,1,24,129,39,22.6,6.8,0.257,0.451,0.31,0.761,0.194,0.295,76,237,5,10,267,73,0.244,0.441,0.328,0.319,0.298,0.198,0.013,0.01,0.009,90.4,17.5,36.2,10.7,30.4,23.7,45.3,71.9,22,27.7,40.1,59.9,77.7,27.1,49.6,35.9,32.7,24.2,410,90,68,13,67,98,270
663656,2022,25,427,544,609,140,81,28,1,30,95,59,15.6,9.7,0.257,0.478,0.33,0.808,0.221,0.261,107,260,4,25,214,71,0.262,0.482,0.348,0.353,0.336,0.22,-0.005,-0.004,-0.005,90,19,34.4,10.2,30.2,25.3,42.4,80.2,13.3,26.1,39.7,60,86.6,19.9,52.7,34.4,37.7,22,524,97,112,30,80,92,297
457759,2022,37,311,468,532,130,81,36,0,13,89,50,16.7,9.4,0.278,0.438,0.35,0.788,0.16,0.313,81,205,0,3,182,61,0.267,0.427,0.343,0.339,0.343,0.16,0.011,0.011,0.004,89.5,18.4,40.6,8,33.1,22.7,40.6,70.4,16,26.7,31.3,68.7,84,20.3,48.2,32.8,33.3,27.9,381,86,96,4,51,110,254
607208,2022,29,446,652,708,194,130,39,4,21,131,45,18.5,6.4,0.298,0.466,0.343,0.809,0.168,0.342,100,304,3,27,330,101,0.276,0.432,0.35,0.335,0.327,0.156,0.022,0.034,0.015,88.9,10.2,35.3,7.6,24.3,34.5,41.6,72.4,15.5,33.1,46.3,53.7,84.5,26.3,51.2,43.5,26.2,24.7,396,102,76,30,45,150,293
662139,2022,25,305,531,592,125,72,23,3,27,145,46,24.5,7.8,0.235,0.443,0.302,0.745,0.208,0.269,74,235,6,16,257,79,0.213,0.389,0.323,0.298,0.285,0.175,0.022,0.054,0.025,87.7,14.9,33.6,10.2,26,30.3,35.6,69.1,20.6,30.5,36.5,61.5,78.2,25.2,50.6,42.7,29.8,19.6,257,65,61,16,45,135,205
683734,2022,24,290,510,555,138,92,28,1,17,96,31,17.3,5.6,0.271,0.429,0.321,0.75,0.158,0.301,76,219,0,0,173,60,0.255,0.415,0.327,0.319,0.311,0.16,0.016,0.014,0.008,90.8,7.5,34.1,7.9,17.9,37.2,48.6,61.4,12.2,32.8,37.3,62.7,87.8,21,47,48,22.2,25.1,297,67,80,0,36,129,243
657077,2022,26,346,593,644,166,115,39,1,11,86,42,13.4,6.5,0.28,0.405,0.328,0.733,0.125,0.309,74,240,3,1,140,75,0.278,0.428,0.319,0.329,0.327,0.151,0.002,-0.023,-0.01,89.1,8.4,37.8,6,22.8,33.9,38.2,64,9.6,24.9,32,68,90.4,15.5,45.3,46.2,23,26.5,322,81,54,5,45,93,230
572233,2022,31,396,583,667,141,78,25,2,36,131,69,19.6,10.3,0.242,0.477,0.327,0.804,0.235,0.248,94,278,2,2,251,84,0.257,0.484,0.346,0.359,0.343,0.227,-0.015,-0.007,-0.013,90,17,33.3,11.5,29.4,26.4,44,67.9,15.6,23.1,49.2,50.8,84.4,24.6,44.7,39.2,30.9,21.4,424,86,103,11,62,127,289
677951,2022,22,340,591,632,150,93,31,6,20,135,30,21.4,4.7,0.254,0.428,0.294,0.722,0.174,0.295,80,253,7,30,256,82,0.252,0.427,0.311,0.313,0.294,0.174,0.002,0.001,-0.002,89.7,16.8,32.5,8.7,34.3,26.2,38.6,70.4,17.9,34.7,39,61,82.1,25.2,51.8,36.2,33.4,22.6,478,97,96,49,40,121,317
592885,2022,30,321,575,671,145,102,25,4,14,162,88,24.1,13.1,0.252,0.383,0.355,0.738,0.131,0.327,57,220,3,19,253,99,0.258,0.404,0.328,0.339,0.36,0.146,-0.006,-0.021,-0.011,91.5,3.6,30.3,8.2,13.2,43.3,48.6,65.4,14.8,23.2,51.2,48.5,85.1,25,43.2,59.1,18,19.7,394,106,76,28,78,140,246
