Name,ID,Year,2022 Yahoo Fantasy Pts,2022 IP,2022 Hits,2022 Strikeouts,2022 Walks,2022 Earned Runs,2022 Wins,2022 Losses,2022 xba,2022 xslg,2022 woba,2022 xwoba,2022 xobp,2022 xiso,2022 exit_velocity_avg,2022 launch_angle_avg,2022 sweet_spot_percent,2022 barrel_batted_rate,2022 hard_hit_percent,2022 avg_best_speed,2022 avg_hyper_speed,2022 whiff_percent,2022 swing_percent,2023 Yahoo Fantasy Pts,2023 IP,2023 Hits,2023 Strikeouts,2023 Walks,2023 Earned Runs,2023 Wins,2023 Losses,2023 xba,2023 xslg,2023 woba,2023 xwoba,2023 xobp,2023 xiso,2023 exit_velocity_avg,2023 launch_angle_avg,2023 sweet_spot_percent,2023 barrel_batted_rate,2023 hard_hit_percent,2023 avg_best_speed,2023 avg_hyper_speed,2023 whiff_percent,2023 swing_percent
"Gallen, Zac",668678,2022,512,184,121,192,47,52,12,4,0.213,0.34,0.25,0.278,0.279,0.127,87.8,10.8,33,7.8,36.1,76.87,93.45,23,47.4,493,210,188,220,47,81,17,9,0.254,0.427,0.289,0.314,0.3,0.173,91.5,12.3,36.4,9.2,46.2,82.02,95,26.3,47.2
"Gausman, Kevin",592332,2022,391.6,174.2,188,205,28,65,12,10,0.242,0.38,0.304,0.285,0.272,0.138,89,12.2,38.1,8.1,38.5,78.2,94.02,29.4,55.9,459,185,163,237,55,65,12,9,0.235,0.402,0.292,0.303,0.294,0.167,89.4,12.3,36.9,9.9,43.3,77.9,94.8,28.9,49.3
"Gibson, Kyle",502043,2022,243.6,167.2,176,144,48,94,10,8,0.262,0.421,0.331,0.326,0.32,0.159,88.6,10.6,34.8,7.5,37.5,77.44,93.99,25.1,48.5,308,192,198,157,55,101,15,9,0.27,0.446,0.326,0.335,0.325,0.176,89.7,8.2,33.4,7.6,44.5,78.38,94.79,25.3,45.6
"Gilbert, Logan",669302,2022,413.6,185.2,170,174,49,66,13,6,0.253,0.408,0.299,0.314,0.308,0.154,91,14.6,37.6,7.1,45.6,80.92,95.05,24.2,50.3,426.6,190.2,169,189,36,79,13,7,0.243,0.41,0.29,0.297,0.28,0.167,90.5,13.6,35,9,44.6,80.45,94.75,26.3,52.2
"Giolito, Lucas",608337,2022,262.6,161.2,171,177,61,88,11,9,0.249,0.397,0.344,0.318,0.319,0.149,88.8,12.6,37.9,7.5,39,77.64,94.19,28.5,47.4,279.3,184.1,169,204,73,100,8,15,0.24,0.445,0.339,0.329,0.318,0.205,89.2,18.5,33.3,11,41.6,77.98,94.42,28.8,46.8
"Gomber, Austin",596295,2022,132.6,124.2,137,95,34,77,5,7,0.267,0.44,0.347,0.33,0.316,0.173,88.1,12.4,35.7,8.5,35.9,77.13,93.7,21.9,49,127,139,164,87,43,85,9,9,0.292,0.5,0.368,0.362,0.346,0.207,90.5,12.8,31.3,8.9,44.3,79.78,94.95,19,47.5
"Gray, Jon",592351,2022,259.3,127.1,105,134,39,56,7,7,0.23,0.367,0.292,0.295,0.296,0.137,88,11.1,34.8,6.1,38,76.5,93.82,25.9,48.9,271.3,157.1,149,142,54,72,9,8,0.26,0.415,0.317,0.325,0.33,0.155,89.4,13.4,35.5,6.4,39.5,78.99,94.13,26.3,50.8
"Gray, Josiah",680686,2022,215.6,148.2,136,154,66,83,7,10,0.219,0.419,0.35,0.319,0.308,0.2,87.4,19.7,33.6,10.7,36.9,75.6,93.72,26.9,44.8,225,159,152,143,80,69,8,13,0.254,0.433,0.332,0.342,0.349,0.179,87.6,16.8,35,9.4,36.7,75.91,93.71,26.1,46.4
"Greinke, Zack",425844,2022,163,137,157,73,27,56,4,9,0.284,0.441,0.321,0.336,0.322,0.157,88.9,12.6,34.4,6.8,39.6,78.55,93.74,17.3,46.2,117.3,142.1,158,97,23,80,2,15,0.29,0.479,0.332,0.344,0.322,0.189,89.6,11.9,32.6,7.7,38.8,79.1,94.18,17.3,46.8
"Hill, Rich",448179,2022,206.3,124.1,125,109,37,59,8,7,0.24,0.411,0.325,0.313,0.3,0.171,88.2,14.9,31.6,8.2,34,77.42,93.67,22,47.4,138.3,146.1,165,129,58,88,8,14,0.281,0.481,0.359,0.36,0.352,0.2,89.4,14.3,37.3,10.1,39.9,78.85,94.14,19.3,45.4
"Javier, Cristian",664299,2022,423.6,148.2,89,194,52,42,11,9,0.168,0.286,0.251,0.244,0.25,0.118,88.4,25.4,31.2,7.2,33.6,78.62,93.18,30.4,49.2,301,162,143,159,62,82,10,5,0.23,0.443,0.317,0.323,0.307,0.213,89.1,23.8,38.1,9.4,38.3,78.88,93.88,27.1,48
"Keller, Mitch",656605,2022,220,159,162,138,60,69,5,12,0.253,0.383,0.323,0.318,0.331,0.13,87.9,7.8,33.3,7.1,37.3,75.98,94.09,21.4,45.6,388.3,194.1,187,210,55,91,13,9,0.251,0.404,0.31,0.315,0.313,0.153,87.7,10.3,36.5,8.6,35.6,75.95,93.74,23.2,47.8
"Kelly, Merrill",518876,2022,424.3,200.1,167,177,61,75,13,8,0.23,0.383,0.289,0.296,0.291,0.153,88.5,14,31.2,8.3,36.5,77.98,93.65,23.6,48.5,397.6,177.2,143,187,68,65,12,8,0.244,0.389,0.294,0.313,0.32,0.145,89.6,11.8,35.1,7.8,41.8,78.63,94.56,27,49.1
"Kirby, George",669923,2022,283,130,135,133,22,49,8,5,0.233,0.379,0.302,0.284,0.271,0.146,89.3,11.3,31.4,8.9,38.7,78.66,94.15,21.2,52.6,417.6,190.2,179,172,19,71,13,10,0.262,0.425,0.284,0.305,0.286,0.163,89.2,12.4,32,7.5,40.9,78.35,94.25,22.9,54.5
"Kremer, Dean",665152,2022,220.3,125.1,123,87,34,45,8,7,0.265,0.423,0.312,0.327,0.321,0.158,88.4,14.7,36.6,7.3,39.2,76.97,94.02,22.2,50.7,329.6,172.2,171,157,55,79,13,5,0.27,0.457,0.317,0.339,0.329,0.188,89.7,12.7,36.9,8.9,40.3,79.05,94.39,24,47.7
"Lopez, Pablo",641154,2022,354,180,157,174,53,75,10,10,0.239,0.378,0.305,0.301,0.302,0.138,87.9,11,33.7,9,35.1,76.34,93.75,28.1,49.6,449,194,176,234,48,79,11,8,0.217,0.34,0.294,0.269,0.272,0.124,87.1,12.6,32.4,6.3,34.8,75.93,93.24,30.3,51.7
"Lyles, Jordan",543475,2022,262,179,196,144,52,88,12,11,0.267,0.452,0.341,0.34,0.325,0.184,88.6,15.3,35.1,10.4,38.8,77.4,94.09,21.9,46.3,127.6,177.2,176,120,45,124,6,17,0.265,0.481,0.34,0.34,0.314,0.216,89,19.8,34.6,9.9,35.5,78.65,93.75,20.1,48.1
"Lynn, Lance",458681,2022,246.6,121.2,119,124,19,54,8,7,0.243,0.387,0.304,0.296,0.286,0.144,88.4,14.2,34.3,6.7,38.7,77.37,93.83,28.5,52.3,260.6,183.2,189,191,67,117,13,11,0.252,0.461,0.347,0.337,0.322,0.209,88.7,17,35.2,10.4,39.3,77.07,94.31,28.7,50.1
"Mikolas, Miles",571945,2022,397.3,202.1,170,153,39,74,12,13,0.252,0.4,0.279,0.306,0.294,0.148,87.8,11,35.1,6.9,36,76.75,93.49,18.5,48.9,241.3,201.1,226,137,39,107,9,13,0.291,0.499,0.33,0.354,0.329,0.207,90.4,15,38.9,9.8,43,80.24,94.59,16.7,49.7
"Montgomery, Jordan",656756,2022,374.3,178.1,159,158,36,69,9,6,0.258,0.4,0.291,0.31,0.303,0.143,88.5,9.8,34.1,7.1,37.5,77.8,93.69,27.4,50.6,366.6,188.2,177,166,48,67,10,11,0.253,0.408,0.298,0.308,0.303,0.155,88.3,12,36.3,7.5,37.9,77.15,93.9,25.9,47.6
"Morton, Charlie",450203,2022,358,172,149,205,63,83,9,6,0.228,0.389,0.32,0.314,0.314,0.161,89.3,13.6,38,9.5,42.1,78.11,94.43,29.2,45.6,317.3,163.1,150,183,83,66,14,12,0.248,0.399,0.318,0.33,0.348,0.151,88.9,9.9,36.8,7.8,39.1,77.31,94.4,32.2,42.9
"Nola, Aaron",605400,2022,495,205,168,235,29,74,11,13,0.211,0.34,0.264,0.259,0.248,0.129,87.7,12.5,34.3,7.1,31.6,77.47,93.04,27.9,49.5,381.6,193.2,178,202,45,96,12,9,0.24,0.407,0.303,0.298,0.284,0.167,89.3,12.7,36.3,8.3,38.5,78.54,94.14,26,49.3
"Ohtani, Shohei",660271,2022,493,166,124,219,44,43,15,9,0.204,0.311,0.255,0.256,0.26,0.107,87.1,14.5,32,6.3,33.2,76.03,93.18,33,49,356,132,85,167,55,46,10,5,0.206,0.377,0.277,0.302,0.305,0.171,86.4,11.5,34,10.1,35,73.97,93.44,30.8,46.7
"Perez, Martin",527048,2022,404.3,196.1,178,169,69,63,12,8,0.242,0.347,0.289,0.295,0.311,0.105,88.2,8.1,30.9,4.3,34.9,77.42,93.58,21,44.5,207.6,141.2,150,93,49,70,10,4,0.272,0.447,0.335,0.338,0.334,0.175,89,10.9,33.1,7.6,37.2,78.34,93.95,17.2,45.3
